id,filename,bytes,note
01,2016-2020年国际终身教育改革发展趋势.md,33330,
02,世界教育数字化发展态势分析.md,19002,
03,中小学数字教科书设计典型经验-基于美国韩国英国和我国台湾地区的分析.md,8267,
04,中小学校服治理国际比较.md,21321,
05,中美AI人才竞争及应对策略.md,9222,
06,中考改革的国际比较.md,31242,
07,主要发达国家高校分类管理机制.md,31310,
08,主要国家学校体育发展综述.md,19936,
09,主要国家将超常儿童培养上升为国家战略.md,8932,
10,主要国家教育国际战略趋势和动向.md,31184,
11,主要国家本科教育评估和认证机制分析.md,16348,
12,主要国际组织和国家推动终身学习主要路径.md,9183,
13,人工智能+教育国际比较报告.md,23876,
14,从国际经验中优化课后服务推动双减政策落地.md,11707,
15,全球经验-人工智能拔尖人才培养的六大前沿趋势.md,13196,
16,典型国家综合高中发展的基本经验.md,12389,
17,国外K12学生计算思维测评理论 内容 方式与工具.md,11283,
18,国外一流高校运用生成式人工智能加速原创性颠覆性科技创新的策略与举措.md,11090,
19,国外学制发展特点 趋势及启示.md,21475,
20,国外学生饮用奶相关政策及实施路径.md,14389,
21,国外拔尖创新人才早期发现、培养机制研究.md,23156,
22,国外提升人才供需适配性的做法.md,29103,
23,国外校园餐的情况和政策研究.md,23628,
24,国外生成式人工智能教育应用态度、策略和举措.md,12075,
25,国外终身教育改革动向和趋势.md,28962,
26,国外职业教育领域生成式人工智能应用场景 风险挑战.md,10543,
27,国际基础教育阶段学生培养目标 评价指标与评价改革动向.md,33239,
28,国际工程教育改革动向和趋势.md,36434,
29,国际数字微认证赋能学习成果和职业技能评估.md,14023,
30,应对学龄人口变化调配基础教育资源的国际经验.md,20972,
31,拔尖创新人才早期培养国际经验及启示.md,34383,
32,校外教育治理的国际趋势与经验.md,11454,
33,欧美国家主要体育课程模式.md,23202,
34,美国新加坡韩国基础教育信息化评估政策比较.md,12224,
35,美英德澳培养与聘任体育教师的做法和特点.md,25942,
36,美英澳等国新一轮国际人才争夺的长短线招数及其破解.md,8759,
37,葡语九国教育数字化策略.md,33126,
38,警惕美竞争法案对我教育战略带来的重大风险.md,9125,
