selected,exact,matchTags,year,issue,section,title,authors,abstract,meta,fn,size,digestUrl,downloadUrl,sourceUrl
"true","false","international;policy;comparative","2026","01","全球教育治理研究","未来承诺:经合组织参与全球教育治理合法性建构及其维持策略","周洪宇;常顺利;","前瞻性全球治理是国际组织通过建构“当前的未来”,将不确定未来转化为可治理对象的跨国实践。作出可信的未来承诺是国际组织建立与维持合法性的关键。基于承诺合法性理论,经合组织的前瞻性全球治理实践经历了“承诺建构—承诺崩塌—承诺重构”的过程,承诺内容从“人力资本”转向“幸福”。经合组织通过数字式治理建构“人力资本”承诺,推动预期愿景成为各国教育改革的现实图景。随着“人力资本”承诺崩塌,经合组织运用以下技术重构承诺与治理“合法性”赤字:曲笔过去以淡化自身历史责任;重写“幸福”承诺以延续既往成功经验;建构“有韧性学习者”形象以转嫁责任。","2026年01期 v.48;No.432 3-12+22页 [查看摘要][在线阅读][下载 912K] [下载次数：633 ] |[引用频次：1 ] |[阅读次数：3 ]","BJJY202601001","912K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=9baf5d80-cc35-4966-a0a3-6105bf6b7bc6","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202601001","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=01"
"true","false","international;policy;comparative","2026","01","全球教育治理研究","权力、话语与网络建构:联合国教科文组织“快乐学校”计划推广策略","滑子颖;","联合国教科文组织为增进全球学生福祉,自2014年启动“快乐学校”计划并将其推广至全球。基于行动者网络理论分析发现,联合国教科文组织作为核心行动者,通过“渲染恐惧”“诉说希望”和“强化权威”三类话语策略,将学生福祉问题构建为全球治理的“脚本”。联合国教科文组织通过情境化探索、知识化推广、制度化扩散三个阶段“招募”与“动员”多国参与。在各国本土实践中,这一过程表现为学习模仿、制度同构与社会建构三重转译机制。联合国教科文组织的政策推广过程和机制对各国教育产生了双重影响:一是同政策输入国在教育知识生产权上发生隐性争夺;二是各国的本土改造产生了政策“转译缺口”,催生出新的全球教育治理空间。","2026年01期 v.48;No.432 13-22页 [查看摘要][在线阅读][下载 814K] [下载次数：368 ] |[引用频次：0 ] |[阅读次数：1 ]","BJJY202601002","814K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=bead3cfa-a82c-4ad6-a300-3080f1e05e77","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202601002","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=01"
"true","false","international;policy;comparative","2026","01","全球教育治理研究","中国参与人工智能教育全球治理的逻辑机理与实践探索","黄巨臣;韦忠霖;","人工智能教育全球治理是国际社会共同关注的重要议题。中国参与人工智能教育全球治理基于顺应现实治理发展需要的逻辑起点,以形成高水平教育对外开放新格局为逻辑中介,最终迈向提升中国式教育现代化国际话语权与推动全球教育治理体系完善的逻辑终点。基于嵌入理论及实际情况,可将中国参与人工智能教育的全球治理类型化为三种典型模式:关系性嵌入、结构性嵌入与制度性嵌入。中国参与人工智能教育的全球治理面临治理理念认知的分歧与“滞后性”、治理主体参与的缺位与“单一化”、治理规则供给的不足与“碎片化”等挑战。中国应重塑人工智能教育全球治理认知,构建包容性的高度开放参与机制,以及提升治理规则供给的数量和质量,为全球贡献中国智慧与方案。","2026年01期 v.48;No.432 23-31+43页 [查看摘要][在线阅读][下载 841K] [下载次数：674 ] |[引用频次：2 ] |[阅读次数：2 ]","BJJY202601003","841K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=eaf834b8-23b2-4d16-819c-5d1315c8ff5f","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202601003","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=01"
"true","false","international;policy;comparative","2026","01","智能革命与教育变革研究","数智时代的“共同善”——法国、芬兰与瑞典数字素养教育的多元路径与价值追求","雷吉斯·马莱;张梦琦;汪丽娟;刘美含;","在数字技术重塑教育的背景下,“数字鸿沟”不仅反映出技术接入的不平等,而且暴露出民主参与和公民素养的落差。面对数字化转型带来的政治和伦理挑战,欧洲数字素养教育呈现多元路径。法国以培养社会责任为导向,强调信息评估能力与极端主义防范,推动学生形成批判性与责任感并重的数字公民意识。芬兰通过跨学科课程与社会实践,将数字素养嵌入创新教学,聚焦虚假信息识别与终身学习能力建设。瑞典强调实践引领,将技术与社会需求相结合,夯实师生数字能力,平衡数字工具与传统媒介应用。尽管路径各异,三国教育实践均围绕民主责任、教育公平、个体赋能与认知伦理四个维度搭建起“共同善”的价值网络,推动数智时代教育与社会可持续发展同向共振。","2026年01期 v.48;No.432 32-43页 [查看摘要][在线阅读][下载 1017K] [下载次数：1009 ] |[引用频次：1 ] |[阅读次数：3 ]","BJJY202601004","1017K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=2cd92c7b-9012-4a7f-a404-5437fef96944","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202601004","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=01"
"true","false","international;policy;comparative","2026","01","智能革命与教育变革研究","中小学生人工智能素养框架的功能趋同与结构异质","吴玫;钟荧妮;穆肃;","为厘清全球中小学生人工智能素养教育的发展趋势与实施路径,以2019-2025年联合国教科文组织、经合组织及中国、美国、日本、新西兰、澳大利亚等国家和中国广东省发布的10份代表性政策文件为对象,采用内容分析法进行系统比较研究发现:全球中小学生人工智能素养框架呈现出“功能趋同与结构异质”的特征。在功能趋同性层面,各国在培养目标上均实现了从单纯“技术工具观”向“综合素养观”的转型;在能力构成上高度共识于“知、思、用、创”四个层面在伦理价值上普遍确立了“以人为本”与“技术谨慎”的基石;在培养路径上均倡导跨学科整合与项目式学习。在结构异质性层面,各框架依据制度背景呈现出模块化、多维矩阵、战略规划与本土课程4种结构类型;在知识广度与技术深度、学段划分的精细度以及实施支持策略的针对性上存在显著差异。这一特征反映了全球教育在应对智能时代挑战时的共性诉求与本土化制度适配。","2026年01期 v.48;No.432 44-55+67页 [查看摘要][在线阅读][下载 1273K] [下载次数：1114 ] |[引用频次：0 ] |[阅读次数：0 ]","BJJY202601005","1273K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=a59de950-d615-43f6-8bf9-5b5f7b814052","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202601005","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=01"
"true","false","international;policy;comparative","2026","01","智能革命与教育变革研究","人工智能与西方高等教育协同发展的态势、议题与理路——基于政策文本荟萃的分析","李健;赵心怡;","人工智能与高等教育协同发展是当今世界各国高等教育改革与创新的重要趋势,特别是在西方发达国家已经将其提升为国家战略。聚焦美国、英国、加拿大、澳大利亚和欧盟,针对其在2016-2024年间颁布的28份高等教育宏观战略政策文件进行系统性政策文本荟萃分析,发现以美国和英国为引领,并向其他国家辐射扩散成为人工智能与西方高等教育协同发展的主要态势。“以学生学习为中心”“高等教育数字化转型与人工智能技能培育的双重建构”及“重塑高等教育新范式”是人工智能与西方高等教育协同发展的关键议题。人工智能与西方高等教育协同发展的政策理路呈现“自上而下”“自下而上”与“双向驱动”三大阶段性特征。","2026年01期 v.48;No.432 56-67页 [查看摘要][在线阅读][下载 999K] [下载次数：1034 ] |[引用频次：0 ] |[阅读次数：2 ]","BJJY202601006","999K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=017d3da8-077a-4adf-8395-18aa4cee75d1","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202601006","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=01"
"true","false","international;policy;comparative","2026","01","教育思想与理论研究","超越“无用之学”:技术加速时代全球文科教育的困境及其纾解","张曦煜;","在经济紧缩、技术霸权与功利主义合流的当今社会,文科教育正遭遇“系统性贬值”困境:资源分配“马太效应”与招生市场“群体偏移”加剧其边缘化;“效率至上”与“短期主义”共同编织文科“无用”的公共迷思;评价体系的“量化导向”与“学术劳工”阶层分化则从内部侵蚀学科生态。然而,从知识论、社会学、文明史三重维度审视,文科所承载的人文素养在个体认知建构、社会意义生产与文明传承方面始终发挥着基础功能与独特作用。美国、德国、日本的实践经验表明,这些国家应对文科危机的核心逻辑一致,即形成价值升维、制度护航、学科共生三大支柱。未来文科教育的发展应从内外部统筹考虑:外部可从追踪认知成效、显化社会贡献、夯实制度韧性方面来增强其正当性根基;内部则应从知识体系、教学范式与评价体系方面革新其内生性动力。","2026年01期 v.48;No.432 68-78页 [查看摘要][在线阅读][下载 944K] [下载次数：598 ] |[引用频次：1 ] |[阅读次数：2 ]","BJJY202601007","944K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=1fcd40f7-154c-44dc-bed0-deef9702dfdc","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202601007","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=01"
"true","false","international;policy;comparative","2026","01","教育领导与管理研究","比较教育研究2026年重点选题","","<正>1.教育强国建设与教育科技人才一体发展国际与比较研究2.比较教育学与自主知识体系建设研究3.教育制度型开放与共建“一带一路”教育合作深化研究4.教育国际公共产品形态与供给机制研究5.多维度世界重要教育中心建设研究6.全球南方教育合作与全球教育治理新格局研究7.全球人才培养与集聚国际与比较研究8.国际学术交流与教育科研合作国际与比较研究9.中外人文交流与国际中文教育研究10.可持续发展理念与教育改革国际与比较研究11.学生全面健康成长与拔尖创新人才培养国际与比较研究","2026年01期 v.48;No.432 112页 [查看摘要][在线阅读][下载 35K] [下载次数：1071 ] |[引用频次：0 ] |[阅读次数：5 ]","BJJY202601011","35K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=dcd09be4-819d-41d7-ae89-0d53f04075e9","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202601011","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=01"
"true","false","international;policy;comparative","2026","02","“一带一路”教育研究","“一带一路”倡议下中拉教育合作交流的行动逻辑、现实基础与未来进路","胡昳昀;李子彤;","拉美是21世纪海上丝绸之路的自然延伸,作为全球南方的重要成员,拉美也是中国参与全球教育治理和推动南南合作的重要伙伴。自“一带一路”倡议启动以来,已有2 3个拉美国家与中国签署共建“一带一路”合作协议,双方合作涵盖人才交流、科研创新、职业教育、语言教学以及教育数字化转型等多个关键领域,取得一系列成效。然而,在当今世界百年未有之大变局背景下,中国与拉美的教育合作面临地缘政治动荡、合作主体单一和对拉美认知不足等新挑战。为有效应对这些挑战,中国在未来合作中应加快推进与拉美教育合作的范式变革,灵活处理中、美、拉的“新三角”关系,促进智库、基金会、企业等非国家行为体参与中拉教育交流与合作,加强对拉美的基础性研究,同时优先加强与拉美国家在职业教育与教育数字化领域的合作,推进中拉教育合作的可持续发展。","2026年02期 v.48;No.433 9-19页 [查看摘要][在线阅读][下载 937K] [下载次数：377 ] |[引用频次：0 ] |[阅读次数：1 ]","BJJY202602002","937K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=be1240d3-1f43-4c4c-a8a3-f6ba8e381fba","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202602002","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=02"
"true","false","international;policy;comparative","2026","02","“一带一路”教育研究","适应与重构:跨国博士学习经历类型分化及形成机制——基于中国学生赴东南亚发展中国家读博的质性研究","郑越洋;","国际学生流动是高等教育国际化的重要体现。采用质性研究方法,基于布迪厄的理论框架,对33位在东南亚发展中国家攻读博士学位的中国学生进行半结构式访谈,探讨其跨国学习经历。研究发现,中国学生的博士学习经历并非同质展开,而是在制度结构、资本配置与个体惯习互动的共同影响下呈现出显著分化,可以分为“表层型”与“融入型”两类。“表层型”博士生在学习过程中与在地学术环境的互动有限,学术训练和资本积累与转化相对有限,对学位价值和未来发展持谨慎态度;“融入型”博士生则深入参与在地学术实践,通过多语言学习、跨文化互动与高要求学术训练,持续积累各种资本,对学习经历和未来发展评价更为积极。因此,理解中国学生赴东南亚发展中国家攻读博士学位的实践,应更多关注其学习过程中的场域结构、资本积累方式与行动策略,而非简单以留学动机或学位价值进行评判。","2026年02期 v.48;No.433 31-39+60页 [查看摘要][在线阅读][下载 815K] [下载次数：382 ] |[引用频次：0 ] |[阅读次数：3 ]","BJJY202602004","815K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=4eb3ec95-f3f6-4534-a6b2-37bca9c7282c","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202602004","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=02"
