组,文档,汉字数,句数,句长均值,句长标准差,句长变异系数CV,最长句,短句<15字占比%,长句>60字占比%,元话语宣告/千字,衔接对举/千字,类型命名领起/千字,自造X型词次数,自造X型词/千字,四字格(词表)/千字,四字并列对/千字,数字/千字,链式公式(A—B—C)次数,段数,段均汉字,编号领起段占比%,段首显性元话语占比%,段首含数字/年份占比%,自造X型词样例,链式公式样例
human,E_中美AI人才竞争,2729,58,47.1,23.6,0.502,104,3.4,24.1,0.0,0.37,0.0,0,0.0,1.47,4.76,6.2,0,23,119.0,43.5,0.0,17.4,,
human,C_人工智能+教育国际比较,5742,114,50.4,32.2,0.639,223,8.8,29.8,0.7,1.57,1.57,7,1.22,0.35,8.36,8.2,0,37,155.0,56.8,21.6,18.9,一类是专设机构型|一类是双重规划型|三类是委托执行型|三类是项目驱动型|二类是综合规划型|技术的领军型|类是多机构协同型,
human,H_终身教育趋势2016-2020,8647,135,64.1,39.9,0.623,269,2.2,40.0,1.16,1.73,0.12,0,0.0,0.93,6.01,13.6,0,43,201.0,37.2,11.6,34.9,,
human,H_校服治理国际比较,6185,139,44.5,27.4,0.615,175,7.2,21.6,0.32,1.13,0.32,0,0.0,0.0,8.08,12.1,0,65,95.0,13.8,4.6,16.9,,
human,H_超常儿童国家战略,2691,53,50.8,29.5,0.58,127,5.7,37.7,0.0,1.11,0.0,0,0.0,2.97,15.98,4.1,0,13,207,46.2,0.0,0.0,,
human,H_学生饮用奶政策,4161,105,39.6,22.8,0.575,119,14.3,15.2,0.24,0.24,0.0,0,0.0,0.48,6.97,14.2,0,34,122.0,11.8,2.9,8.8,,
human,H_警惕美竞争法案,2701,51,53.0,18.5,0.35,100,0.0,33.3,0.0,0.0,0.0,0,0.0,3.33,7.77,3.7,0,36,75.0,63.9,0.0,5.6,,
human,H_课后服务双减,3206,68,47.1,26.0,0.552,103,10.3,32.4,0.31,0.94,0.0,0,0.0,1.56,11.54,7.5,0,20,160.0,60.0,10.0,15.0,,
ai,A_AI教育政策比较(盲测A),6726,112,60.1,30.5,0.508,176,7.1,51.8,1.49,0.3,0.74,5,0.74,0.15,6.54,5.4,3,22,306.0,63.6,18.2,0.0,一类是专综并进型|三类是专项引领型|专综并进型|二类是总体嵌入型|入型与专项引领型,扫描---试点---扩展|体验---基础---高阶|理解---应用---创造
ai,B_美国AI人才战略(盲测B),2776,50,55.5,37.7,0.679,176,6.0,36.0,1.8,1.8,0.36,0,0.0,0.72,7.93,5.8,2,18,154.0,50.0,11.1,5.6,,培养---吸引---占位---统筹|奖学金---博士---绿卡
ai,D_终身教育研判(盲测D),4867,112,43.5,20.5,0.472,126,0.0,20.5,0.62,0.82,0.21,0,0.0,0.0,5.14,14.6,2,41,119.0,36.6,2.4,17.1,,培训---认证---就业对接|遴选---授权---监督---退出
ai,R_run0626-152506,7998,117,68.4,34.1,0.499,170,6.0,56.4,1.63,1.0,1.63,6,0.75,0.13,6.38,15.3,3,30,267.0,43.3,33.3,6.7,一类是专设统筹型|与总体战略并进型|体战略深度嵌入型|多部门分散协同型|委托与专家主导型|项先行独立运作型,扫描—试点—扩展|吸引—培养—留住|形成培训—实践—认可的发展闭环
ai,R_run0706-095808,5780,103,56.1,31.4,0.559,212,7.8,36.9,2.6,0.52,1.73,10,1.73,0.0,9.69,2.4,3,42,138.0,23.8,26.2,16.7,倡导与资源供给型|共服务敏捷应用型|是专项资金引导型|是平台协作赋能型|球伦理规范引领型|系统能力构建型|而非强制要求型,扫描—试点—扩展|英国与欧盟的试点—评估—扩展闭环|明确素养标准—嵌入课程体系—赋能教师队伍
ai,R_run0706-193854,6113,125,48.9,27.0,0.552,115,11.2,31.2,1.15,0.33,0.49,5,0.82,0.49,5.56,9.3,6,49,125.0,28.6,14.3,28.6,公私合营型|多层规范体系型|监管红线型|联邦协同型|软性协调型,总体嵌入—部门协同—专项细化|标准发布—资源配套—评价牵引|标准定义→实施赋能→底线保障|法律强制—监管红线—定向投入—文化嵌入
