ok,year,issue,title,fn,savedPath,bytes,error
"true","2026","01","未来承诺:经合组织参与全球教育治理合法性建构及其维持策略","BJJY202601001","/Users/hujingkai/Documents/New project/example1/cnki_bjjy_2025_2026_policy/pdfs/01_2026-01_未来承诺_经合组织参与全球教育治理合法性建构及其维持策略.pdf","1475025",""
"true","2026","01","权力、话语与网络建构:联合国教科文组织“快乐学校”计划推广策略","BJJY202601002","/Users/hujingkai/Documents/New project/example1/cnki_bjjy_2025_2026_policy/pdfs/02_2026-01_权力、话语与网络建构_联合国教科文组织“快乐学校”计划推广策略.pdf","1319612",""
"true","2026","01","中国参与人工智能教育全球治理的逻辑机理与实践探索","BJJY202601003","/Users/hujingkai/Documents/New project/example1/cnki_bjjy_2025_2026_policy/pdfs/03_2026-01_中国参与人工智能教育全球治理的逻辑机理与实践探索.pdf","1353177",""
"true","2026","01","人工智能与西方高等教育协同发展的态势、议题与理路——基于政策文本荟萃的分析","BJJY202601006","/Users/hujingkai/Documents/New project/example1/cnki_bjjy_2025_2026_policy/pdfs/04_2026-01_人工智能与西方高等教育协同发展的态势、议题与理路——基于政策文本荟萃的分析.pdf","1529194",""
"true","2026","02","欧盟对中亚国家教育外交:基于政策演进的实践行动","BJJY202602005","/Users/hujingkai/Documents/New project/example1/cnki_bjjy_2025_2026_policy/pdfs/05_2026-02_欧盟对中亚国家教育外交_基于政策演进的实践行动.pdf","1466735",""
"true","2026","02","“主动代理人”而非“被动受害者”——“外化”视角下全球南方跨境教育政策借鉴研究","BJJY202602006","/Users/hujingkai/Documents/New project/example1/cnki_bjjy_2025_2026_policy/pdfs/06_2026-02_“主动代理人”而非“被动受害者”——“外化”视角下全球南方跨境教育政策借鉴研究.pdf","1319451",""
"true","2026","03","包容性审慎:日本生成式人工智能教育应用的治理逻辑探析","BJJY202603001","/Users/hujingkai/Documents/New project/example1/cnki_bjjy_2025_2026_policy/pdfs/07_2026-03_包容性审慎_日本生成式人工智能教育应用的治理逻辑探析.pdf","1389200",""
"false","2026","03","保护学习者的数字权利——联合国教科文组织报告的蓝图、局限与超越","BJJY202603003","","","Error: verification_or_block: {""url"":""https://kns.cnki.net/verify/home?captchaType=clickWord&ident=bc397c&captchaId=41b9048c-0970-4cdc-be16-2cf1dc382d49&returnUrl=iECBDnhr716Qd6pbb7El10nguP5Sbm9UQxpzsYxSAM-JuReIJajXtAPkvSpbVp2w43uKpruLjPScQOIaVtisbAVIGS-sM_4f7e22sVlXwEdH8DME9nAC97Xro2CmvVXVW9fIkD6Jl3tn_CPegZ4YLEOCKH1A4wd_cvO3iHNP6Dh2YGrhayT6pAdcRqHr_9q66IOlfqvabVslPOVyUmegFc3bNBUegc2TJBkIeaTj4Iw_ypm0m8PHHmEuIt_AuDgBsAnoUl6CidvNQNng0ZqFfclydSXKuZ4C"",""title"":""安全验证"",""hasPdf"":false,""hasVerifyPage"":true,""hasTooFrequent"":false,""text"":""请完成安全验证""}"
"false","2026","04","国际视野下的课程超载及其治理研究——来自经合组织的洞见及多国实践","BJJY202604002","","","not attempted"
"false","2026","04","自由市场抑或政府统筹:英国高校“学生人数控制”政策争议和前景","BJJY202604010","","","not attempted"
"false","2025","01","国际视野下人工智能教育应用伦理风险与治理策略","BJJY202501006","","","not attempted"
"false","2025","03","德国对华科教合作政策变迁分析——2015—2024年德国政府“中国能力”资助政策为例","BJJY202503004","","","not attempted"
"false","2025","05","英国人工智能时代教育数字权利保障研究","BJJY202505005","","","not attempted"
"false","2025","06","德国参与全球教育治理的政策转向、行动路径与核心特征","BJJY202506008","","","not attempted"
"false","2025","09","主要国家及国际组织学前儿童数字技术使用政策的基本立场探析","BJJY202509007","","","not attempted"
