id,source_file,raw_text,cleaned_text,style_excerpt,bytes,raw_chars,cleaned_chars,excerpt_chars,pdftotext_mode,pdftotext_returncode,pdftotext_stderr
01,/Users/hujingkai/Downloads/风格参考/21世纪以来我国未来学校研究的热点透视与前瞻思考_朱雪梅.pdf,style_dna/raw/samples_txt_raw/01_21世纪以来我国未来学校研究的热点透视与前瞻思考_朱雪梅.txt,style_dna/processed/cleaned_samples_raw/01_21世纪以来我国未来学校研究的热点透视与前瞻思考_朱雪梅.txt,style_dna/processed/style_excerpts/01_21世纪以来我国未来学校研究的热点透视与前瞻思考_朱雪梅.md,1401587,14784,14433,4840,raw,0,
02,/Users/hujingkai/Downloads/风格参考/“主动代理人”而非“被动受害者”——“外化”视角下全球南方跨境教育政策借鉴研究_杨瑷伊.pdf,style_dna/raw/samples_txt_raw/02_主动代理人_而非_被动受害者_外化_视角下全球南方跨境教育政策借鉴研究_杨瑷伊.txt,style_dna/processed/cleaned_samples_raw/02_主动代理人_而非_被动受害者_外化_视角下全球南方跨境教育政策借鉴研究_杨瑷伊.txt,style_dna/processed/style_excerpts/02_主动代理人_而非_被动受害者_外化_视角下全球南方跨境教育政策借鉴研究_杨瑷伊.md,1319451,35039,25460,3945,raw,0,
03,/Users/hujingkai/Downloads/风格参考/中国参与人工智能教育全球治理的逻辑机理与实践探索_黄巨臣.pdf,style_dna/raw/samples_txt_raw/03_中国参与人工智能教育全球治理的逻辑机理与实践探索_黄巨臣.txt,style_dna/processed/cleaned_samples_raw/03_中国参与人工智能教育全球治理的逻辑机理与实践探索_黄巨臣.txt,style_dna/processed/style_excerpts/03_中国参与人工智能教育全球治理的逻辑机理与实践探索_黄巨臣.md,1353177,31167,21990,2923,raw,0,
04,/Users/hujingkai/Downloads/风格参考/人工智能与西方高等教育协同发展的态势、议题与理路——基于政策文本荟萃的分析_李健.pdf,style_dna/raw/samples_txt_raw/04_人工智能与西方高等教育协同发展的态势_议题与理路_基于政策文本荟萃的分析_李健.txt,style_dna/processed/cleaned_samples_raw/04_人工智能与西方高等教育协同发展的态势_议题与理路_基于政策文本荟萃的分析_李健.txt,style_dna/processed/style_excerpts/04_人工智能与西方高等教育协同发展的态势_议题与理路_基于政策文本荟萃的分析_李健.md,1529194,38205,27263,4907,raw,0,
05,/Users/hujingkai/Downloads/风格参考/保护学习者的数字权利——联合国教科文组织报告的蓝图、局限与超越_刘晓巍.pdf,style_dna/raw/samples_txt_raw/05_保护学习者的数字权利_联合国教科文组织报告的蓝图_局限与超越_刘晓巍.txt,style_dna/processed/cleaned_samples_raw/05_保护学习者的数字权利_联合国教科文组织报告的蓝图_局限与超越_刘晓巍.txt,style_dna/processed/style_excerpts/05_保护学习者的数字权利_联合国教科文组织报告的蓝图_局限与超越_刘晓巍.md,1149931,23012,16491,4885,raw,0,
06,/Users/hujingkai/Downloads/风格参考/包容性审慎_日本生成式人工智能教育应用的治理逻辑探析_谭建川.pdf,style_dna/raw/samples_txt_raw/06_包容性审慎_日本生成式人工智能教育应用的治理逻辑探析_谭建川.txt,style_dna/processed/cleaned_samples_raw/06_包容性审慎_日本生成式人工智能教育应用的治理逻辑探析_谭建川.txt,style_dna/processed/style_excerpts/06_包容性审慎_日本生成式人工智能教育应用的治理逻辑探析_谭建川.md,1389200,30058,21358,4896,raw,0,
07,/Users/hujingkai/Downloads/风格参考/国际视野下的课程超载及其治理研究——来自经合组织的洞见及多国实践_陈法宝.pdf,style_dna/raw/samples_txt_raw/07_国际视野下的课程超载及其治理研究_来自经合组织的洞见及多国实践_陈法宝.txt,style_dna/processed/cleaned_samples_raw/07_国际视野下的课程超载及其治理研究_来自经合组织的洞见及多国实践_陈法宝.txt,style_dna/processed/style_excerpts/07_国际视野下的课程超载及其治理研究_来自经合组织的洞见及多国实践_陈法宝.md,1298691,29274,20778,3627,raw,0,
08,/Users/hujingkai/Downloads/风格参考/基于教学思维链的教育大模型推理显化研究_李永智 (1).pdf,style_dna/raw/samples_txt_raw/08_基于教学思维链的教育大模型推理显化研究_李永智_1.txt,style_dna/processed/cleaned_samples_raw/08_基于教学思维链的教育大模型推理显化研究_李永智_1.txt,style_dna/processed/style_excerpts/08_基于教学思维链的教育大模型推理显化研究_李永智_1.md,1261262,16799,16331,4851,raw,0,
09,/Users/hujingkai/Downloads/风格参考/基于标准的国家智慧教育平台调优：国际方位与发展路径_曹培杰.pdf,style_dna/raw/samples_txt_raw/09_基于标准的国家智慧教育平台调优_国际方位与发展路径_曹培杰.txt,style_dna/processed/cleaned_samples_raw/09_基于标准的国家智慧教育平台调优_国际方位与发展路径_曹培杰.txt,style_dna/processed/style_excerpts/09_基于标准的国家智慧教育平台调优_国际方位与发展路径_曹培杰.md,1666442,14648,14153,4838,raw,0,
10,/Users/hujingkai/Downloads/风格参考/建强用好国家智慧教育平台是数字时代的教育应答_曹培杰.pdf,style_dna/raw/samples_txt_raw/10_建强用好国家智慧教育平台是数字时代的教育应答_曹培杰.txt,style_dna/processed/cleaned_samples_raw/10_建强用好国家智慧教育平台是数字时代的教育应答_曹培杰.txt,style_dna/processed/style_excerpts/10_建强用好国家智慧教育平台是数字时代的教育应答_曹培杰.md,1475344,5001,4821,3514,raw,0,
11,/Users/hujingkai/Downloads/风格参考/技术变革与教育公平：人工智能重塑教育机会_金敏.pdf,style_dna/raw/samples_txt_raw/11_技术变革与教育公平_人工智能重塑教育机会_金敏.txt,style_dna/processed/cleaned_samples_raw/11_技术变革与教育公平_人工智能重塑教育机会_金敏.txt,style_dna/processed/style_excerpts/11_技术变革与教育公平_人工智能重塑教育机会_金敏.md,1577416,33844,32971,4837,raw,0,
12,/Users/hujingkai/Downloads/风格参考/技术能否赋能学生的数字素养？——一项大规模的中小学数字化学习状态调查_浦小松.pdf,style_dna/raw/samples_txt_raw/12_技术能否赋能学生的数字素养_一项大规模的中小学数字化学习状态调查_浦小松.txt,style_dna/processed/cleaned_samples_raw/12_技术能否赋能学生的数字素养_一项大规模的中小学数字化学习状态调查_浦小松.txt,style_dna/processed/style_excerpts/12_技术能否赋能学生的数字素养_一项大规模的中小学数字化学习状态调查_浦小松.md,1341086,18645,17286,3677,raw,0,
13,/Users/hujingkai/Downloads/风格参考/推动国家智慧教育公共服务平台从资源集成到能力集成的优化路径_翟雪松.pdf,style_dna/raw/samples_txt_raw/13_推动国家智慧教育公共服务平台从资源集成到能力集成的优化路径_翟雪松.txt,style_dna/processed/cleaned_samples_raw/13_推动国家智慧教育公共服务平台从资源集成到能力集成的优化路径_翟雪松.txt,style_dna/processed/style_excerpts/13_推动国家智慧教育公共服务平台从资源集成到能力集成的优化路径_翟雪松.md,1908423,24124,23068,4842,raw,0,
14,/Users/hujingkai/Downloads/风格参考/教育数字化正从单点突破迈向全域赋能_曹培杰.pdf,style_dna/raw/samples_txt_raw/14_教育数字化正从单点突破迈向全域赋能_曹培杰.txt,style_dna/processed/cleaned_samples_raw/14_教育数字化正从单点突破迈向全域赋能_曹培杰.txt,style_dna/processed/style_excerpts/14_教育数字化正从单点突破迈向全域赋能_曹培杰.md,1224626,1498,1445,1396,raw,0,
15,/Users/hujingkai/Downloads/风格参考/数字化转型背景下中小学教师新型负担的评估与反思_李阳杰.pdf,style_dna/raw/samples_txt_raw/15_数字化转型背景下中小学教师新型负担的评估与反思_李阳杰.txt,style_dna/processed/cleaned_samples_raw/15_数字化转型背景下中小学教师新型负担的评估与反思_李阳杰.txt,style_dna/processed/style_excerpts/15_数字化转型背景下中小学教师新型负担的评估与反思_李阳杰.md,1429779,26336,25739,4860,raw,0,
16,/Users/hujingkai/Downloads/风格参考/新一代数字技术何以赋能教育评价改革_曹培杰.pdf,style_dna/raw/samples_txt_raw/16_新一代数字技术何以赋能教育评价改革_曹培杰.txt,style_dna/processed/cleaned_samples_raw/16_新一代数字技术何以赋能教育评价改革_曹培杰.txt,style_dna/processed/style_excerpts/16_新一代数字技术何以赋能教育评价改革_曹培杰.md,1160597,5578,5392,3594,raw,0,
17,/Users/hujingkai/Downloads/风格参考/新时代科学教育的价值意蕴与实践路径_曹培杰.pdf,style_dna/raw/samples_txt_raw/17_新时代科学教育的价值意蕴与实践路径_曹培杰.txt,style_dna/processed/cleaned_samples_raw/17_新时代科学教育的价值意蕴与实践路径_曹培杰.txt,style_dna/processed/style_excerpts/17_新时代科学教育的价值意蕴与实践路径_曹培杰.md,1264871,11606,10672,3549,raw,0,
18,/Users/hujingkai/Downloads/风格参考/智能时代全球代表性教育平台发展路径探析——兼论国家智慧教育平台智能化升级策略_曹培杰.pdf,style_dna/raw/samples_txt_raw/18_智能时代全球代表性教育平台发展路径探析_兼论国家智慧教育平台智能化升级策略_曹培杰.txt,style_dna/processed/cleaned_samples_raw/18_智能时代全球代表性教育平台发展路径探析_兼论国家智慧教育平台智能化升级策略_曹培杰.txt,style_dna/processed/style_excerpts/18_智能时代全球代表性教育平台发展路径探析_兼论国家智慧教育平台智能化升级策略_曹培杰.md,1375086,21651,20471,4857,raw,0,
19,/Users/hujingkai/Downloads/风格参考/智能时代数字教育的前沿探索与评价创新——2025世界数字教育大会“数字教育发展与评价”平行会议综述_秦琳.pdf,style_dna/raw/samples_txt_raw/19_智能时代数字教育的前沿探索与评价创新_2025世界数字教育大会_数字教育发展与评价_平行会议综述_秦琳.txt,style_dna/processed/cleaned_samples_raw/19_智能时代数字教育的前沿探索与评价创新_2025世界数字教育大会_数字教育发展与评价_平行会议综述_秦琳.txt,style_dna/processed/style_excerpts/19_智能时代数字教育的前沿探索与评价创新_2025世界数字教育大会_数字教育发展与评价_平行会议综述_秦琳.md,1710769,18731,18106,4859,raw,0,
20,/Users/hujingkai/Downloads/风格参考/未来承诺_经合组织参与全球教育治理合法性建构及其维持策略_周洪宇.pdf,style_dna/raw/samples_txt_raw/20_未来承诺_经合组织参与全球教育治理合法性建构及其维持策略_周洪宇.txt,style_dna/processed/cleaned_samples_raw/20_未来承诺_经合组织参与全球教育治理合法性建构及其维持策略_周洪宇.txt,style_dna/processed/style_excerpts/20_未来承诺_经合组织参与全球教育治理合法性建构及其维持策略_周洪宇.md,1475025,37890,26731,2593,raw,0,
21,/Users/hujingkai/Downloads/风格参考/权力、话语与网络建构_联合国教科文组织“快乐学校”计划推广策略_滑子颖.pdf,style_dna/raw/samples_txt_raw/21_权力_话语与网络建构_联合国教科文组织_快乐学校_计划推广策略_滑子颖.txt,style_dna/processed/cleaned_samples_raw/21_权力_话语与网络建构_联合国教科文组织_快乐学校_计划推广策略_滑子颖.txt,style_dna/processed/style_excerpts/21_权力_话语与网络建构_联合国教科文组织_快乐学校_计划推广策略_滑子颖.md,1319612,35674,25569,2799,raw,0,
22,/Users/hujingkai/Downloads/风格参考/欧盟对中亚国家教育外交_基于政策演进的实践行动_王正青.pdf,style_dna/raw/samples_txt_raw/22_欧盟对中亚国家教育外交_基于政策演进的实践行动_王正青.txt,style_dna/processed/cleaned_samples_raw/22_欧盟对中亚国家教育外交_基于政策演进的实践行动_王正青.txt,style_dna/processed/style_excerpts/22_欧盟对中亚国家教育外交_基于政策演进的实践行动_王正青.md,1466735,41308,29094,4328,raw,0,
23,/Users/hujingkai/Downloads/风格参考/自由市场抑或政府统筹_英国高校“学生人数控制”政策争议和前景_李鹏虎.pdf,style_dna/raw/samples_txt_raw/23_自由市场抑或政府统筹_英国高校_学生人数控制_政策争议和前景_李鹏虎.txt,style_dna/processed/cleaned_samples_raw/23_自由市场抑或政府统筹_英国高校_学生人数控制_政策争议和前景_李鹏虎.txt,style_dna/processed/style_excerpts/23_自由市场抑或政府统筹_英国高校_学生人数控制_政策争议和前景_李鹏虎.md,1373267,36067,25821,2595,raw,0,
24,/Users/hujingkai/Downloads/风格参考/面向共同利益的高等教育_内涵阐释与成效评估_西蒙·马金森.pdf,style_dna/raw/samples_txt_raw/24_面向共同利益的高等教育_内涵阐释与成效评估_西蒙_马金森.txt,style_dna/processed/cleaned_samples_raw/24_面向共同利益的高等教育_内涵阐释与成效评估_西蒙_马金森.txt,style_dna/processed/style_excerpts/24_面向共同利益的高等教育_内涵阐释与成效评估_西蒙_马金森.md,1554967,39010,27839,3879,raw,0,
