file,cn_chars,heading_markers,year_mentions,numeric_mentions
2016-2020年国际终身教育改革发展趋势.md,9721,13,51,179
世界教育数字化发展态势分析.md,5676,9,52,95
中小学数字教科书设计典型经验-基于美国韩国英国和我国台湾地区的分析.md,2449,5,0,5
中小学校服治理国际比较.md,6231,18,27,76
中美AI人才竞争及应对策略.md,2739,0,6,19
中考改革的国际比较.md,9086,10,11,147
主要发达国家高校分类管理机制.md,9271,22,29,116
主要国家学校体育发展综述.md,5802,11,17,135
主要国家将超常儿童培养上升为国家战略.md,2691,0,8,15
主要国家教育国际战略趋势和动向.md,9394,11,72,144
主要国家本科教育评估和认证机制分析.md,4938,12,0,15
主要国际组织和国家推动终身学习主要路径.md,2702,9,19,39
人工智能+教育国际比较报告.md,5797,7,34,124
从国际经验中优化课后服务推动双减政策落地.md,3380,3,15,58
全球经验-人工智能拔尖人才培养的六大前沿趋势.md,3807,2,9,51
典型国家综合高中发展的基本经验.md,3349,8,29,139
国外K12学生计算思维测评理论 内容 方式与工具.md,3311,10,2,24
国外一流高校运用生成式人工智能加速原创性颠覆性科技创新的策略与举措.md,3451,4,1,4
国外学制发展特点 趋势及启示.md,6370,11,16,56
国外学生饮用奶相关政策及实施路径.md,4191,11,1,59
国外拔尖创新人才早期发现、培养机制研究.md,6754,11,5,153
国外提升人才供需适配性的做法.md,8668,6,29,60
国外校园餐的情况和政策研究.md,6940,7,3,30
国外生成式人工智能教育应用态度、策略和举措.md,3570,8,14,60
国外终身教育改革动向和趋势.md,8639,9,58,120
国外职业教育领域生成式人工智能应用场景 风险挑战.md,3102,7,0,7
国际基础教育阶段学生培养目标 评价指标与评价改革动向.md,9670,20,59,137
国际工程教育改革动向和趋势.md,10876,9,21,130
国际数字微认证赋能学习成果和职业技能评估.md,4243,15,10,39
应对学龄人口变化调配基础教育资源的国际经验.md,6286,15,23,115
拔尖创新人才早期培养国际经验及启示.md,10387,11,12,53
校外教育治理的国际趋势与经验.md,3125,3,25,108
欧美国家主要体育课程模式.md,6800,10,8,81
美国新加坡韩国基础教育信息化评估政策比较.md,3464,9,14,35
美英德澳培养与聘任体育教师的做法和特点.md,7808,17,2,54
美英澳等国新一轮国际人才争夺的长短线招数及其破解.md,2607,3,11,26
葡语九国教育数字化策略.md,9514,29,84,275
警惕美竞争法案对我教育战略带来的重大风险.md,2701,18,1,11
