file,cn_chars,footnotes,history_analogy,decision_subject,risk_words,judgment_words,caution_words,generic_ai
2016-2020年国际终身教育改革发展趋势.md,9721,0,0,51,8,18,24,11
世界教育数字化发展态势分析.md,5676,0,0,39,4,15,6,13
中小学数字教科书设计典型经验-基于美国韩国英国和我国台湾地区的分析.md,2449,0,0,9,1,1,7,1
中小学校服治理国际比较.md,6231,0,2,44,1,2,18,5
中美AI人才竞争及应对策略.md,2739,0,15,22,1,6,3,3
中考改革的国际比较.md,9086,0,5,37,1,28,17,2
主要发达国家高校分类管理机制.md,9271,0,2,27,3,8,22,6
主要国家学校体育发展综述.md,5802,0,0,27,5,26,22,3
主要国家将超常儿童培养上升为国家战略.md,2691,0,6,24,2,7,16,2
主要国家教育国际战略趋势和动向.md,9394,0,0,77,4,17,24,14
主要国家本科教育评估和认证机制分析.md,4938,0,0,24,2,11,12,1
主要国际组织和国家推动终身学习主要路径.md,2702,0,0,14,1,3,5,5
人工智能+教育国际比较报告.md,5797,32,0,53,12,23,17,17
从国际经验中优化课后服务推动双减政策落地.md,3380,14,0,30,0,5,11,3
全球经验-人工智能拔尖人才培养的六大前沿趋势.md,3807,0,0,28,5,17,6,6
典型国家综合高中发展的基本经验.md,3349,0,1,11,0,10,5,4
国外K12学生计算思维测评理论 内容 方式与工具.md,3311,0,3,3,1,9,2,0
国外一流高校运用生成式人工智能加速原创性颠覆性科技创新的策略与举措.md,3451,0,0,2,10,1,10,9
国外学制发展特点 趋势及启示.md,6370,0,3,59,0,47,19,6
国外学生饮用奶相关政策及实施路径.md,4191,0,0,24,5,11,19,1
国外拔尖创新人才早期发现、培养机制研究.md,6754,0,0,10,2,41,14,5
国外提升人才供需适配性的做法.md,8668,0,5,85,7,25,68,9
国外校园餐的情况和政策研究.md,6940,0,1,77,2,25,34,3
国外生成式人工智能教育应用态度、策略和举措.md,3570,0,0,7,12,9,0,6
国外终身教育改革动向和趋势.md,8639,0,0,44,3,21,32,9
国外职业教育领域生成式人工智能应用场景 风险挑战.md,3102,0,0,0,18,2,9,9
国际基础教育阶段学生培养目标 评价指标与评价改革动向.md,9670,0,3,46,3,24,10,8
国际工程教育改革动向和趋势.md,10876,0,1,23,7,23,23,4
国际数字微认证赋能学习成果和职业技能评估.md,4243,0,1,11,0,4,9,2
应对学龄人口变化调配基础教育资源的国际经验.md,6286,0,2,31,12,26,18,7
拔尖创新人才早期培养国际经验及启示.md,10387,0,0,45,4,33,33,4
校外教育治理的国际趋势与经验.md,3125,34,2,20,2,11,4,7
欧美国家主要体育课程模式.md,6800,0,0,5,1,35,23,1
美国新加坡韩国基础教育信息化评估政策比较.md,3464,0,1,21,0,5,2,1
美英德澳培养与聘任体育教师的做法和特点.md,7808,0,2,9,1,26,36,2
美英澳等国新一轮国际人才争夺的长短线招数及其破解.md,2607,0,1,12,2,5,9,3
葡语九国教育数字化策略.md,9514,0,2,67,6,11,5,29
警惕美竞争法案对我教育战略带来的重大风险.md,2701,0,1,18,17,14,4,4
