组,文档,含数字句(截断180字)
human,E_中美AI人才竞争,目前，该报告提出的主要建议已经被采纳，在参议院近期高票通过的《2021美国创新与竞争法案》中得到了充分体现，人工智能人才竞争正在成为美国对华政策的重要考量
human,E_中美AI人才竞争,"2021年3月，美国人工智能国家安全委员会发布最终报告，以中国为""假想敌""进行人工智能人才竞争（全文提及""中国""达500多次），试图通过国防、外交、教育、科技、知识产权等手段，构筑一条针对中国的技术防线"
human,E_中美AI人才竞争,在产业发展上，建议扩大人工智能研发经费投入，联邦政府将至少1%的GDP投入新兴技术研发，到2026年非国防人工智能研发资金达到320亿美元
human,E_中美AI人才竞争,在高等教育领域，建议由国家科学基金会增设STEM奖学金和研究基金，五年内设立25000个STEM本科生奖学金，5000个STEM博士研究基金和500个博士后职位
human,E_中美AI人才竞争,与1958年《国防教育法》相比，《国防教育法案Ⅱ》将视角从高等教育延伸到基础教育，从国内人才培养延伸到全球人才争夺，从教育内部改革延伸到多领域协同，不断织密技术防线，对我国科技创新人才培养提出了新的挑战
human,E_中美AI人才竞争,"扩大""非凡""人才标准，放宽O-1签证条件，并强调人工智能人才"
human,C_人工智能+教育国际比较,2024年，该框架按规定进行了年度审查，其结果于2025年6月得到澳大利亚教育部批准
human,C_人工智能+教育国际比较,"欧盟积极塑造AI全球格局，2025年发布《AI大陆行动计划》，以打造AI全球领导者为目标，重点扩大AI专家队伍，通过启动""AI技能学院""一站式服务平台，开展AI学徒计划、奖学金计划，开发生成式AI试点学位，优化签证政策等举措，吸引并留住欧盟内外顶尖AI人才"
human,C_人工智能+教育国际比较,"2023年11月，澳大利亚教育部发布《澳大利亚学校生成式AI框架》（Australian Framework for Generative Artificial Intelligence in Schools），不过该政策文件虽名为""框架""，但仅就生成式AI在学校教育中的使用原则做出了规范，严格意义上不能看作为政策规划"
human,C_人工智能+教育国际比较,"美国通过顶层设计推动AI教育与职业衔接，特朗普总统发布""推动美国青少年人工智能教育发展""行政命令，以打造AI全球领导地位为目标，为青少年创造AI教育及职业发展机会，配套成立AI教育特别工作组，依托公私合作模式为K12阶段提供AI教育资源，部署总统AI挑战赛、教师AI培训、注册学徒制推广等专项行动，聚焦早期AI技术接触与全民AI素养提升，培育专业劳动力与创新人"
human,C_人工智能+教育国际比较,"2025年，欧盟发布""应用AI战略""与""科学AI战略""，双轮驱动巩固欧洲AI领先地位"
